# pllbench: one engine per process, 20s wall cap each; process startup ~52ms (identical for both engines, NOT subtracted)
id	class	formula	frjw	frjw_ms	g4c	g4c_ms	note
001	0v ◯0	⊥ ⊃ ⊥	valid	56	valid	57	FRJW FASTER
002	0v ◯0	⊤	valid	55	valid	55	
003	0v ◯0	⊥ ∨ ⊤	valid	55	valid	57	FRJW FASTER
004	0v ◯0	⊥ ∧ ⊤	invalid	57	invalid	55	
005	0v ◯1	◯⊥	invalid	56	invalid	56	
006	0v ◯1	¬◯⊥	invalid	57	invalid	54	
007	0v ◯1	◯⊤	valid	57	valid	55	
008	0v ◯1	◯⊥ ⊃ ⊥	invalid	55	invalid	55	
009	0v ◯1	◯⊥ ∨ ¬◯⊥	invalid	58	invalid	53	
010	0v ◯1	◯⊥ ∧ ⊤	invalid	53	invalid	60	FRJW FASTER
011	0v ◯1	⊥ ⊃ ◯⊥	valid	53	valid	53	
012	0v ◯1	◯(⊥ ∨ ⊤)	valid	53	valid	53	
013	0v ◯2	◯◯⊥	invalid	53	invalid	56	FRJW FASTER
014	0v ◯2	◯◯⊥ ⊃ ◯⊥	valid	55	valid	59	FRJW FASTER
015	0v ◯2	◯⊥ ⊃ ◯◯⊥	valid	54	valid	52	
016	0v ◯2	◯(◯⊥ ⊃ ⊥)	invalid	53	invalid	52	
017	0v ◯2	(◯⊥ ∧ ◯⊤) ⊃ ◯(⊥ ∧ ⊤)	valid	52	valid	52	
018	0v ◯2	◯(⊥ ∨ ⊤) ⊃ (◯⊥ ∨ ◯⊤)	valid	54	valid	53	
019	0v ◯3	◯◯◯⊥	invalid	52	invalid	54	FRJW FASTER
020	0v ◯3	◯◯◯⊥ ⊃ ◯⊥	valid	57	valid	56	
021	1v ◯0	p ⊃ p	valid	52	valid	56	FRJW FASTER
022	1v ◯0	p	invalid	54	invalid	55	FRJW FASTER
023	1v ◯0	p ∨ ¬p	invalid	55	invalid	53	
024	1v ◯0	p ∧ p ⊃ p	valid	53	valid	53	
025	1v ◯0	¬¬p ⊃ p	invalid	54	invalid	53	
026	1v ◯0	p ⊃ ¬¬p	valid	55	valid	55	
027	1v ◯0	(p ⊃ ⊥) ∨ p	invalid	53	invalid	55	FRJW FASTER
028	1v ◯0	p ∨ (p ⊃ ⊥)	invalid	55	invalid	53	
029	1v ◯1	p ⊃ ◯p	valid	56	valid	52	
030	1v ◯1	◯p ⊃ p	invalid	57	invalid	56	
031	1v ◯1	◯p	invalid	57	invalid	56	
032	1v ◯1	◯p ∨ ¬◯p	invalid	88	invalid	56	
033	1v ◯1	◯p ∧ p ⊃ p	valid	56	valid	59	FRJW FASTER
034	1v ◯1	◯(p ∨ ¬p)	invalid	59	invalid	58	
035	1v ◯1	◯p ⊃ ◯(p ∨ p)	valid	54	valid	52	
036	1v ◯1	◯(p ∧ p) ⊃ ◯p	valid	55	valid	56	FRJW FASTER
037	1v ◯1	◯p ⊃ (◯p ∨ ◯p)	valid	57	valid	58	FRJW FASTER
038	1v ◯1	(◯p ∧ ◯p) ⊃ ◯p	valid	55	valid	56	FRJW FASTER
039	1v ◯1	¬◯p ⊃ ¬p	valid	56	valid	53	
040	1v ◯1	¬p ⊃ ¬◯p	invalid	241	invalid	57	
041	1v ◯2	◯◯p ⊃ ◯p	valid	53	valid	53	
042	1v ◯2	◯p ⊃ ◯◯p	valid	56	valid	54	
043	1v ◯2	◯(◯p ⊃ p)	invalid	53	invalid	57	FRJW FASTER
044	1v ◯2	◯◯p	invalid	58	invalid	55	
045	1v ◯2	◯(◯p ∨ p)	invalid	55	invalid	53	
046	1v ◯2	◯(◯p ∧ p) ⊃ ◯p	valid	57	valid	54	
047	1v ◯2	(◯◯p ∨ ◯p) ⊃ ◯p	valid	53	valid	57	FRJW FASTER
048	1v ◯2	◯◯p ⊃ (◯p ∧ ◯◯p)	valid	52	valid	52	
049	1v ◯2	¬◯◯p ⊃ ¬◯p	valid	54	valid	58	FRJW FASTER
050	1v ⊃2	((p ⊃ ⊥) ⊃ p) ⊃ p	invalid	54	invalid	56	FRJW FASTER
051	1v ⊃2	((◯p ⊃ ⊥) ⊃ ◯p) ⊃ ◯p	invalid	212	invalid	53	
052	1v ⊃3	(((p ⊃ ⊥) ⊃ ⊥) ⊃ p)	invalid	57	invalid	53	
053	1v ⊃3	(((◯p ⊃ p) ⊃ ◯p) ⊃ ◯p)	invalid	64	invalid	54	
054	1v ⊃3	((p ⊃ ◯p) ⊃ p) ⊃ p	valid	53	valid	54	FRJW FASTER
055	1v ⊃3	(p ⊃ (p ⊃ ◯p)) ⊃ (p ⊃ ◯p)	valid	56	valid	55	
056	1v ◯3	◯◯◯p ⊃ ◯p	valid	55	valid	53	
057	1v ◯3	◯p ⊃ ◯◯◯p	valid	56	valid	54	
058	1v ◯3	◯◯◯p	invalid	53	invalid	53	
059	1v ◯3	◯(◯(◯p ⊃ p) ⊃ p)	invalid	170	invalid	56	
060	2v ◯0	p ⊃ (q ⊃ p)	valid	56	valid	55	
061	2v ◯0	(p ∧ q) ⊃ p	valid	56	valid	53	
062	2v ◯0	(p ∧ q) ⊃ q	valid	54	valid	52	
063	2v ◯0	p ⊃ (p ∨ q)	valid	56	valid	53	
064	2v ◯0	(p ∨ q) ⊃ (q ∨ p)	valid	54	valid	54	
065	2v ◯0	(p ∧ q) ⊃ (q ∧ p)	valid	51	valid	53	FRJW FASTER
066	2v ◯0	(p ⊃ q) ∨ (q ⊃ p)	invalid	60	invalid	52	
067	2v ◯0	((p ⊃ q) ⊃ p) ⊃ p	invalid	54	invalid	55	FRJW FASTER
