# naive vs semi-naive, frjw only, 20s wall cap each; warm process startup ~46ms (identical both modes, NOT subtracted)
id	class	formula	naive	naive_ms	semi	semi_ms	note
001	0v ◯0	⊥ ⊃ ⊥	valid	51	valid	51	
002	0v ◯0	⊤	valid	53	valid	53	
003	0v ◯0	⊥ ∨ ⊤	valid	52	valid	53	
004	0v ◯0	⊥ ∧ ⊤	invalid	49	invalid	51	
005	0v ◯1	◯⊥	invalid	50	invalid	55	
006	0v ◯1	¬◯⊥	invalid	49	invalid	51	
007	0v ◯1	◯⊤	valid	51	valid	50	
008	0v ◯1	◯⊥ ⊃ ⊥	invalid	53	invalid	54	
009	0v ◯1	◯⊥ ∨ ¬◯⊥	invalid	54	invalid	57	
010	0v ◯1	◯⊥ ∧ ⊤	invalid	58	invalid	58	
011	0v ◯1	⊥ ⊃ ◯⊥	valid	59	valid	58	
012	0v ◯1	◯(⊥ ∨ ⊤)	valid	60	valid	58	
013	0v ◯2	◯◯⊥	invalid	60	invalid	56	
014	0v ◯2	◯◯⊥ ⊃ ◯⊥	valid	56	valid	50	
015	0v ◯2	◯⊥ ⊃ ◯◯⊥	valid	57	valid	57	
016	0v ◯2	◯(◯⊥ ⊃ ⊥)	invalid	59	invalid	55	
017	0v ◯2	(◯⊥ ∧ ◯⊤) ⊃ ◯(⊥ ∧ ⊤)	valid	54	valid	53	
018	0v ◯2	◯(⊥ ∨ ⊤) ⊃ (◯⊥ ∨ ◯⊤)	valid	56	valid	52	
019	0v ◯3	◯◯◯⊥	invalid	52	invalid	52	
020	0v ◯3	◯◯◯⊥ ⊃ ◯⊥	valid	58	valid	56	
021	1v ◯0	p ⊃ p	valid	56	valid	57	
022	1v ◯0	p	invalid	57	invalid	59	
023	1v ◯0	p ∨ ¬p	invalid	61	invalid	59	
024	1v ◯0	p ∧ p ⊃ p	valid	59	valid	54	
025	1v ◯0	¬¬p ⊃ p	invalid	54	invalid	54	
026	1v ◯0	p ⊃ ¬¬p	valid	53	valid	55	
027	1v ◯0	(p ⊃ ⊥) ∨ p	invalid	56	invalid	53	
028	1v ◯0	p ∨ (p ⊃ ⊥)	invalid	50	invalid	50	
029	1v ◯1	p ⊃ ◯p	valid	49	valid	52	
030	1v ◯1	◯p ⊃ p	invalid	51	invalid	52	
031	1v ◯1	◯p	invalid	52	invalid	54	
032	1v ◯1	◯p ∨ ¬◯p	invalid	89	invalid	87	
033	1v ◯1	◯p ∧ p ⊃ p	valid	60	valid	60	
034	1v ◯1	◯(p ∨ ¬p)	invalid	60	invalid	60	
035	1v ◯1	◯p ⊃ ◯(p ∨ p)	valid	59	valid	51	
036	1v ◯1	◯(p ∧ p) ⊃ ◯p	valid	50	valid	50	
037	1v ◯1	◯p ⊃ (◯p ∨ ◯p)	valid	50	valid	51	
038	1v ◯1	(◯p ∧ ◯p) ⊃ ◯p	valid	52	valid	50	
039	1v ◯1	¬◯p ⊃ ¬p	valid	55	valid	53	
040	1v ◯1	¬p ⊃ ¬◯p	invalid	235	invalid	170	
041	1v ◯2	◯◯p ⊃ ◯p	valid	61	valid	53	
042	1v ◯2	◯p ⊃ ◯◯p	valid	51	valid	53	
043	1v ◯2	◯(◯p ⊃ p)	invalid	55	invalid	54	
044	1v ◯2	◯◯p	invalid	54	invalid	51	
045	1v ◯2	◯(◯p ∨ p)	invalid	50	invalid	54	
046	1v ◯2	◯(◯p ∧ p) ⊃ ◯p	valid	51	valid	52	
047	1v ◯2	(◯◯p ∨ ◯p) ⊃ ◯p	valid	51	valid	52	
