[cAnd_8_11] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cAnd_8_12] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cAnd_8_14] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cAnd_10_13] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨4, [(0, 1), (0, 2), (2, 3), (0, 3)], [(2, 3)], [3], []⟩ @ 0 (1ms)
[cAnd_11_13] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cAnd_13_14] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_8_4] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [], []⟩ @ 0 (1ms)
[cImp_8_5] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [], []⟩ @ 0 (2ms)
[cImp_8_7] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_8_9] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_8_12] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_8_14] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_10_4] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_10_13] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (1ms)
[cImp_11_7] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_12_7] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_12_9] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_12_11] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
[cImp_13_9] ⊢ ◯(◯p⊃p): REFUTED(cfgD) ⟨3, [(0, 1), (1, 2), (0, 2)], [(1, 2)], [2], []⟩ @ 0 (0ms)
